path_id,model,abs_time,abs_state,steps
58,B,0.26530000000000004,0,2653
59,A,1.4031,1,14031
59,B,0.42230000000000001,0,4223
60,A,0.55740000000000001,1,5574
60,B,1.5980000000000001,0,15980
61,A,2.2368999999999999,1,22369
61,B,0.16920000000000002,0,1692
62,A,0.79220000000000002,1,7922
62,B,0.84900000000000009,0,8490
63,A,0.99030000000000007,1,9903
63,B,0.4723,0,4723
64,A,0.68259999999999998,1,6826
64,B,1.7429000000000001,1,17429
65,A,0.6099,1,6099
65,B,0.27640000000000003,0,2764
66,A,0.68320000000000003,1,6832
66,B,0.33950000000000002,0,3395
67,A,2.1851000000000003,1,21851
67,B,1.3969,0,13969
68,A,0.73660000000000003,1,7366
68,B,1.2492000000000001,1,12492
69,A,0.26219999999999999,0,2622
69,B,0.30870000000000003,0,3087
70,A,0.5444,1,5444
70,B,2.1774,1,21774
71,A,1.0095000000000001,0,10095
71,B,2.3322000000000003,0,23322
72,A,0.74570000000000003,1,7457
72,B,3.4661,0,34661
73,A,0.64070000000000005,1,6407
73,B,0.59910000000000008,0,5991
74,A,0.5151,1,5151
74,B,0.48650000000000004,0,4865
75,A,0.6381,1,6381
75,B,0.69420000000000004,1,6942
76,A,0.62119999999999997,1,6212
76,B,0.86420000000000008,0,8642
77,A,0.41900000000000004,1,4190
77,B,0.33069999999999999,0,3307
78,A,0.54900000000000004,1,5490
78,B,0.79349999999999998,1,7935
79,A,0.74409999999999998,1,7441
79,B,1.6395000000000002,0,16395
80,A,0.64250000000000007,1,6425
80,B,0.84150000000000003,1,8415
81,A,0.46880000000000005,1,4688
81,B,0.9788,0,9788
82,A,0.46910000000000002,1,4691
82,B,0.99880000000000002,0,9988
83,A,0.54680000000000006,1,5468
83,B,0.8347,0,8347
84,A,1.1943000000000001,1,11943
84,B,1.0412000000000001,1,10412
85,A,1.0448999999999999,1,10449
85,B,0.78950000000000009,0,7895
86,A,0.67070000000000007,1,6707
86,B,2.4321999999999999,1,24322
87,A,0.71750000000000003,1,7175
87,B,1.4681,1,14681
88,A,1.6896,1,16896
88,B,0.13920000000000002,0,1392
89,A,0.4365,1,4365
89,B,0.53010000000000002,0,5301
90,A,0.434,1,4340
90,B,2.3572000000000002,0,23572
91,A,0.26719999999999999,1,2672
91,B,1.5593000000000001,0,15593
92,A,0.52610000000000001,1,5261
92,B,1.5552000000000001,0,15552
93,A,0.2863,1,2863
93,B,2.0044,1,20044
94,A,0.54920000000000002,1,5492
94,B,0.63829999999999998,0,6383
95,A,2.1352000000000002,1,21352
95,B,1.8196000000000001,0,18196
96,A,0.61540000000000006,1,6154
96,B,1.0665,1,10665
97,A,0.45240000000000002,1,4524
97,B,0.4723,0,4723
98,A,0.81310000000000004,1,8131
98,B,0.54749999999999999,0,5475
99,A,2.0895999999999999,1,20896
99,B,1.4877,0,14877
100,A,0.61860000000000004,1,6186
100,B,1.1655,1,11655
101,A,1.6300000000000001,1,16300
101,B,0.6169,0,6169
102,A,0.5081,1,5081
102,B,0.62950000000000006,1,6295
103,A,1.1289,1,11289
103,B,4.1611000000000002,0,41611
104,A,0.215,1,2150
104,B,0.7288,0,7288
105,A,0.65170000000000006,1,6517
105,B,5.5426000000000002,1,55426
106,A,1.4071,1,14071
106,B,0.95640000000000003,0,9564
107,A,0.66720000000000002,1,6672
107,B,0.29160000000000003,0,2916
108,A,0.43049999999999999,1,4305
108,B,0.2117,0,2117
109,A,1.2224000000000002,1,12224
109,B,0.55490000000000006,0,5549
110,A,0.66460000000000008,1,6646
110,B,0.57090000000000007,0,5709
111,A,0.77460000000000007,0,7746
111,B,1.2302999999999999,0,12303
112,A,0.54060000000000008,1,5406
112,B,1.4283000000000001,0,14283
113,A,0.35250000000000004,1,3525
113,B,0.25640000000000002,0,2564
114,A,0.59410000000000007,1,5941
114,B,0.80200000000000005,0,8020
115,A,0.746,1,7460
115,B,0.1618,0,1618
116,A,0.69430000000000003,1,6943
116,B,1.7908000000000002,1,17908
117,A,0.62909999999999999,1,6291
117,B,0.35220000000000001,0,3522
118,A,0.93170000000000008,1,9317
118,B,1.4633,0,14633
119,A,0.52710000000000001,1,5271
119,B,4.6836000000000002,0,46836
120,A,0.78510000000000002,1,7851
120,B,1.7161000000000002,0,17161
121,A,0.59850000000000003,1,5985
121,B,0.76760000000000006,1,7676
122,A,0.27110000000000001,1,2711
122,B,0.34440000000000004,1,3444
123,A,0.60240000000000005,1,6024
123,B,1.7415,0,17415
124,A,0.64800000000000002,1,6480
124,B,1.9534,0,19534
125,A,1.137,1,11370
125,B,1.6518000000000002,1,16518
126,A,0.78090000000000004,1,7809
126,B,0.3876,0,3876
127,A,0.70550000000000002,1,7055
127,B,1.9958,0,19958
128,A,0.20880000000000001,0,2088
128,B,0.3039,0,3039
129,A,1.1191,1,11191
129,B,0.3493,0,3493
130,A,0.62280000000000002,1,6228
130,B,0.72650000000000003,0,7265
131,A,0.34940000000000004,1,3494
131,B,1.1212,0,11212
132,A,0.3866,1,3866
132,B,2.0236000000000001,0,20236
133,A,0.59650000000000003,1,5965
133,B,0.44370000000000004,0,4437
134,A,0.55359999999999998,1,5536
134,B,1.8030000000000002,0,18030
135,A,0.51500000000000001,1,5150
135,B,3.5378000000000003,1,35378
136,A,1.7959000000000001,1,17959
136,B,0.32669999999999999,0,3267
137,A,0.84640000000000004,1,8464
137,B,0.33280000000000004,0,3328
138,A,1.1686000000000001,1,11686
138,B,2.0079000000000002,0,20079
139,A,0.52280000000000004,1,5228
139,B,0.9457000000000001,0,9457
140,A,0.76840000000000008,1,7684
140,B,1.1737,0,11737
141,A,0.45350000000000001,1,4535
141,B,0.21260000000000001,0,2126
142,A,0.88440000000000007,1,8844
142,B,1.1279000000000001,0,11279
143,A,1.8489,1,18489
143,B,0.47700000000000004,0,4770
144,A,0.99730000000000008,1,9973
144,B,0.62709999999999999,0,6271
145,A,0.41650000000000004,1,4165
145,B,1.4480000000000002,0,14480
146,A,1.2963,1,12963
146,B,2.6436000000000002,1,26436
147,A,0.70590000000000008,1,7059
147,B,2.8893,0,28893
148,A,0.47090000000000004,1,4709
148,B,3.9327000000000001,1,39327
149,A,1.1414,1,11414
149,B,0.37110000000000004,0,3711
150,A,0.53410000000000002,1,5341
150,B,0.55710000000000004,0,5571
151,A,0.96900000000000008,1,9690
151,B,2.0897000000000001,1,20897
152,A,0.52949999999999997,1,5295
152,B,0.2001,0,2001
153,A,0.38270000000000004,1,3827
153,B,0.52610000000000001,0,5261
154,A,0.40460000000000002,1,4046
154,B,1.9476,0,19476
155,A,0.67070000000000007,1,6707
155,B,1.8795000000000002,0,18795
156,A,0.309,1,3090
156,B,2.2029000000000001,0,22029
157,A,0.40840000000000004,1,4084
157,B,1.3523000000000001,0,13523
158,A,1.3574000000000002,1,13574
158,B,0.65329999999999999,0,6533
159,A,1.0404,1,10404
159,B,1.1180000000000001,1,11180
160,A,1.0011000000000001,1,10011
160,B,0.31759999999999999,0,3176
161,A,1.1926000000000001,1,11926
161,B,1.6832,0,16832
162,A,0.52510000000000001,1,5251
162,B,3.3638000000000003,0,33638
163,A,0.51160000000000005,1,5116
163,B,2.4204000000000003,0,24204
164,A,1.2443,1,12443
164,B,1.8437000000000001,1,18437
165,A,0.81310000000000004,1,8131
165,B,3.1895000000000002,1,31895
166,A,0.63190000000000002,1,6319
166,B,1.6182000000000001,0,16182
167,A,0.66470000000000007,1,6647
167,B,0.33879999999999999,0,3388
168,A,0.66980000000000006,1,6698
168,B,2.9198,0,29198
169,A,0.42130000000000001,1,4213
169,B,1.1496999999999999,1,11497
170,A,0.19470000000000001,1,1947
170,B,1.8527,1,18527
171,A,0.86930000000000007,1,8693
171,B,1.4721,0,14721
172,A,0.36960000000000004,1,3696
172,B,2.0038,0,20038
173,A,1.5347000000000002,1,15347
173,B,1.069,0,10690
174,A,0.2399,1,2399
174,B,0.46960000000000002,0,4696
175,A,0.62940000000000007,1,6294
175,B,0.60130000000000006,0,6013
176,A,0.89219999999999999,1,8922
176,B,2.4268000000000001,1,24268
177,A,0.42530000000000001,1,4253
177,B,0.46510000000000001,0,4651
178,A,0.94430000000000003,1,9443
178,B,1.5248000000000002,0,15248
179,A,0.96550000000000002,1,9655
179,B,1.0593000000000001,1,10593
180,A,1.1551,1,11551
180,B,3.4584000000000001,1,34584
181,A,0.58460000000000001,1,5846
181,B,1.7018,0,17018
182,A,0.36160000000000003,1,3616
182,B,0.71960000000000002,0,7196
183,A,0.58340000000000003,1,5834
183,B,1.8331000000000002,1,18331
184,A,0.65470000000000006,1,6547
184,B,0.1134,0,1134
185,A,0.45810000000000001,1,4581
185,B,0.67810000000000004,1,6781
186,A,0.44030000000000002,1,4403
186,B,0.8327,0,8327
187,A,1.5713000000000001,1,15713
187,B,0.64980000000000004,0,6498
188,A,0.36710000000000004,1,3671
188,B,0.18630000000000002,0,1863
189,A,0.80740000000000001,1,8074
189,B,0.1134,0,1134
190,A,0.27890000000000004,1,2789
190,B,0.4718,0,4718
191,A,0.90180000000000005,1,9018
191,B,0.97540000000000004,0,9754
192,A,0.25130000000000002,1,2513
192,B,0.49910000000000004,1,4991
193,A,1.1457000000000002,1,11457
193,B,0.2049,0,2049
194,A,1.1598000000000002,1,11598
194,B,1.427,1,14270
195,A,0.42820000000000003,1,4282
195,B,0.96930000000000005,0,9693
196,A,0.45570000000000005,1,4557
196,B,2.8288000000000002,0,28288
197,A,1.365,1,13650
197,B,2.1699999999999999,0,21700
198,A,1.5433000000000001,1,15433
198,B,2.2149000000000001,1,22149
199,A,1.6498000000000002,1,16498
199,B,1.5975000000000001,0,15975
200,A,1.0601,1,10601
200,B,1.0363,0,10363
201,A,0.60430000000000006,1,6043
201,B,1.9846000000000001,1,19846
202,A,0.48810000000000003,1,4881
202,B,1.1985000000000001,1,11985
203,A,1.4669000000000001,1,14669
203,B,2.4237000000000002,1,24237
204,A,0.56930000000000003,1,5693
204,B,0.95940000000000003,1,9594
205,A,0.53480000000000005,1,5348
205,B,0.85530000000000006,0,8553
206,A,0.79180000000000006,0,7918
206,B,0.52639999999999998,0,5264
207,A,0.3407,1,3407
207,B,2.3223000000000003,0,23223
208,A,0.34840000000000004,1,3484
208,B,1.4785000000000001,1,14785
209,A,0.39460000000000001,1,3946
209,B,0.77100000000000002,0,7710
210,A,0.35589999999999999,1,3559
210,B,0.4829,0,4829
211,A,0.77129999999999999,1,7713
211,B,0.52750000000000008,0,5275
212,A,0.72170000000000001,1,7217
212,B,1.9590000000000001,1,19590
213,A,1.0387,1,10387
213,B,1.7811000000000001,1,17811
214,A,0.56790000000000007,1,5679
214,B,0.39750000000000002,0,3975
215,A,0.76829999999999998,1,7683
215,B,0.76770000000000005,0,7677
216,A,0.28300000000000003,1,2830
216,B,0.2099,0,2099
217,A,0.92670000000000008,1,9267
217,B,1.4745000000000001,0,14745
218,A,0.85560000000000003,1,8556
218,B,1.4548000000000001,1,14548
219,A,1.0062,1,10062
219,B,2.6577000000000002,0,26577
220,A,0.83700000000000008,1,8370
220,B,0.092300000000000007,0,923
221,A,1.2931000000000001,1,12931
221,B,1.7386000000000001,1,17386
222,A,0.78650000000000009,1,7865
222,B,3.7381000000000002,0,37381
223,A,0.44340000000000002,1,4434
223,B,1.1597,0,11597
224,A,0.65290000000000004,1,6529
224,B,0.44160000000000005,0,4416
225,A,0.44590000000000002,1,4459
